record_type,party,region,constituency,seats,votes,vote_pct,majority,turnout_pct,turnout_total,electorate
seat_breakdown,Labour,,,418,,,,,,
seat_breakdown,Conservative,,,165,,,,,,
seat_breakdown,Liberal Democrat,,,46,,,,,,
seat_breakdown,UUP,,,10,,,,,,
seat_breakdown,SNP,,,6,,,,,,
seat_breakdown,Plaid Cymru,,,4,,,,,,
seat_breakdown,SDLP,,,3,,,,,,
seat_breakdown,DUP,,,2,,,,,,
seat_breakdown,Sinn Fein,,,2,,,,,,
seat_breakdown,Speaker,,,1,,,,,,
seat_breakdown,UK Unionist,,,1,,,,,,
seat_breakdown,Independents,,,1,,,,,,
vote_summary,Labour,,,418,13518167,43.21%,,,,
vote_summary,Conservative,,,165,9600943,30.69%,,,,
vote_summary,Liberal Democrat,,,46,5242947,16.76%,,,,
vote_summary,SNP,,,6,621550,1.99%,,,,
vote_summary,UUP,,,10,258349,0.83%,,,,
vote_summary,SDLP,,,3,190814,0.61%,,,,
vote_summary,Plaid Cymru,,,4,161030,0.51%,,,,
vote_summary,Sinn Fein,,,2,126921,0.41%,,,,
vote_summary,DUP,,,2,107348,0.34%,,,,
vote_summary,UKIP,,,0,105722,0.34%,,,,
vote_summary,Green,,,0,63991,0.20%,,,,
vote_summary,Alliance,,,0,62972,0.20%,,,,
vote_summary,Speaker,,,1,23969,0.08%,,,,
vote_summary,TUP,,,0,12817,0.04%,,,,
vote_summary,Independents,,,2,939869,3.00%,,,,
vote_summary,Others,,,0,248875,0.80%,,,,
overall_total,,,,,,,,71.46%,31286284,
overall_total,,,,,,,,,,43784559
constituency_result,Labour,London,Barking,,,,15896,61.41%,,
constituency_result,Labour,London,Battersea,,,,5360,70.82%,,
constituency_result,Labour,London,Bethnal Green and Bow,,,,11285,61.20%,,
constituency_result,Labour,London,Bexleyheath and Crayford,,,,3415,76.14%,,
constituency_result,Labour,London,Brent East,,,,15882,65.87%,,
constituency_result,Labour,London,Brent North,,,,4019,70.50%,,
constituency_result,Labour,London,Brent South,,,,19691,64.48%,,
constituency_result,Labour,London,Brentford and Isleworth,,,,14424,71.00%,,
constituency_result,Labour,London,Camberwell and Peckham,,,,16451,56.51%,,
constituency_result,Labour,London,Croydon Central,,,,3897,69.62%,,
constituency_result,Labour,London,Croydon North,,,,18398,68.21%,,
constituency_result,Labour,London,Dagenham,,,,17054,61.74%,,
constituency_result,Labour,London,Dulwich and West Norwood,,,,16769,65.49%,,
constituency_result,Labour,London,Ealing Acton and Shepherd's Bush,,,,15650,66.68%,,
constituency_result,Labour,London,Ealing North,,,,9160,71.31%,,
constituency_result,Labour,London,Ealing Southall,,,,21423,66.88%,,
constituency_result,Labour,London,East Ham,,,,19358,60.81%,,
constituency_result,Labour,London,Edmonton,,,,13472,70.37%,,
constituency_result,Labour,London,Eltham,,,,10182,75.71%,,
constituency_result,Labour,London,Enfield North,,,,6822,70.43%,,
constituency_result,Labour,London,Enfield Southgate,,,,1433,70.72%,,
constituency_result,Labour,London,Erith and Thamesmead,,,,17424,66.13%,,
constituency_result,Labour,London,Feltham and Heston,,,,15273,65.58%,,
constituency_result,Labour,London,Finchley and Golders Green,,,,3189,69.65%,,
constituency_result,Labour,London,Greenwich and Woolwich,,,,18128,65.85%,,
constituency_result,Labour,London,Hackney North and Stoke Newington,,,,15627,52.19%,,
constituency_result,Labour,London,Hackney South and Shoreditch,,,,14990,54.69%,,
constituency_result,Labour,London,Hammersmith and Fulham,,,,3842,68.70%,,
constituency_result,Labour,London,Hampstead and Highgate,,,,13284,67.86%,,
constituency_result,Labour,London,Harrow East,,,,9734,71.36%,,
constituency_result,Labour,London,Harrow West,,,,1240,72.92%,,
constituency_result,Labour,London,Hayes and Harlington,,,,14291,72.31%,,
constituency_result,Labour,London,Hendon,,,,6155,65.67%,,
constituency_result,Labour,London,Holborn and St Pancras,,,,17903,60.29%,,
constituency_result,Labour,London,Hornchurch,,,,5680,72.30%,,
constituency_result,Labour,London,Hornsey and Wood Green,,,,20499,69.08%,,
constituency_result,Labour,London,Ilford North,,,,3224,71.61%,,
constituency_result,Labour,London,Ilford South,,,,14200,69.37%,,
constituency_result,Labour,London,Islington North,,,,19955,62.49%,,
constituency_result,Labour,London,Islington South and Finsbury,,,,14563,63.67%,,
constituency_result,Labour,London,Lewisham Deptford,,,,18878,57.87%,,
constituency_result,Labour,London,Lewisham East,,,,12127,66.41%,,
constituency_result,Labour,London,Lewisham West,,,,14317,64.04%,,
constituency_result,Labour,London,Leyton and Wanstead,,,,15186,63.24%,,
constituency_result,Labour,London,Mitcham and Morden,,,,13741,73.33%,,
constituency_result,Labour,London,Poplar and Canning Town,,,,18915,58.46%,,
constituency_result,Labour,London,Putney,,,,2976,73.11%,,
constituency_result,Labour,London,Regent's Park and Kensington North,,,,14657,64.19%,,
constituency_result,Labour,London,Romford,,,,649,70.66%,,
constituency_result,Labour,London,Streatham,,,,18423,60.24%,,
constituency_result,Labour,London,Tooting,,,,15011,69.17%,,
constituency_result,Labour,London,Tottenham,,,,20200,56.98%,,
constituency_result,Labour,London,Upminster,,,,2770,72.30%,,
constituency_result,Labour,London,Vauxhall,,,,18660,55.49%,,
constituency_result,Labour,London,Walthamstow,,,,17149,62.76%,,
constituency_result,Labour,London,West Ham,,,,19494,58.99%,,
constituency_result,Labour,London,Wimbledon,,,,2990,75.45%,,
constituency_result,Labour,East of England,Basildon,,,,13280,71.74%,,
