record_type,party,region,constituency,seats,votes,vote_pct,majority,turnout_pct,turnout_total,electorate
constituency_result,Labour,London,Barking,,,,2259,62.3,,
constituency_result,Labour,London,Battersea,,,,5360,69.1,,
constituency_result,Conservative,London,Beckenham,,,,1227,74.8,,
constituency_result,Labour,London,Bexleyheath and Crayford,,,,3415,72.2,,
constituency_result,Labour,London,Brent East,,,,15882,58.1,,
constituency_result,Labour,London,Brent North,,,,4664,65.2,,
constituency_result,Labour,London,Brent South,,,,19691,56.8,,
constituency_result,Conservative,London,Bromley and Chislehurst,,,,11118,73.0,,
constituency_result,Labour,London,Camberwell and Peckham,,,,14969,55.8,,
constituency_result,Liberal Democrat,London,Carshalton and Wallington,,,,2649,72.0,,
constituency_result,Conservative,London,Chelsea and Fulham,,,,7800,66.5,,
constituency_result,Conservative,London,Chingford and Wood Green,,,,5397,67.4,,
constituency_result,Conservative,London,Chipping Barnet,,,,1035,74.8,,
constituency_result,Conservative,London,Cities of London and Westminster,,,,6091,52.1,,
constituency_result,Labour,London,Croydon Central,,,,3897,71.2,,
constituency_result,Labour,London,Croydon North,,,,18398,63.4,,
constituency_result,Conservative,London,Croydon South,,,,11930,75.3,,
constituency_result,Labour,London,Dagenham,,,,3766,61.8,,
constituency_result,Labour,London,Dulwich and West Norwood,,,,16769,67.3,,
constituency_result,Labour,London,Ealing Acton and Shepherd's Bush,,,,15768,64.7,,
constituency_result,Labour,London,Ealing North,,,,9693,67.5,,
constituency_result,Labour,London,Ealing Southall,,,,21423,61.0,,
constituency_result,Labour,London,East Ham,,,,22422,58.0,,
constituency_result,Labour,London,Edmonton,,,,13472,64.0,,
constituency_result,Labour,London,Eltham,,,,5214,70.5,,
constituency_result,Labour,London,Enfield North,,,,6822,72.6,,
constituency_result,Labour,London,Enfield Southgate,,,,1433,75.1,,
constituency_result,Labour,London,Erith and Thamesmead,,,,13203,62.5,,
constituency_result,Labour,London,Feltham and Heston,,,,15273,62.0,,
constituency_result,Labour,London,Finchley and Golders Green,,,,3189,70.8,,
constituency_result,Labour,London,Greenwich and Woolwich,,,,18128,62.4,,
constituency_result,Labour,London,Hackney North and Stoke Newington,,,,12637,55.1,,
constituency_result,Labour,London,Hackney South and Shoreditch,,,,14827,49.7,,
constituency_result,Labour,London,Hammersmith and Fulham,,,,3842,67.2,,
constituency_result,Labour,London,Hampstead and Highgate,,,,13289,69.7,,
constituency_result,Labour,London,Harrow East,,,,9320,67.7,,
constituency_result,Labour,London,Harrow West,,,,1240,72.3,,
constituency_result,Labour,London,Hayes and Harlington,,,,13266,65.4,,
constituency_result,Labour,London,Hendon,,,,6155,70.6,,
constituency_result,Labour,London,Holborn and St Pancras,,,,17903,57.3,,
constituency_result,Labour,London,Hornchurch,,,,5680,72.0,,
constituency_result,Labour,London,Hornsey and Wood Green,,,,20688,69.1,,
constituency_result,Labour,London,Ilford North,,,,3224,72.1,,
constituency_result,Labour,London,Ilford South,,,,14200,66.6,,
constituency_result,Labour,London,Islington North,,,,14563,62.3,,
constituency_result,Labour,London,Islington South and Finsbury,,,,14563,60.6,,
constituency_result,Conservative,London,Kensington and Chelsea,,,,9519,56.7,,
constituency_result,Liberal Democrat,London,Kingston and Surbiton,,,,56,78.2,,
constituency_result,Labour,London,Lewisham Deptford,,,,18678,59.5,,
constituency_result,Labour,London,Lewisham East,,,,9987,66.5,,
constituency_result,Labour,London,Lewisham West,,,,14337,67.5,,
constituency_result,Labour,London,Leyton and Wanstead,,,,15186,63.9,,
constituency_result,Labour,London,Mitcham and Morden,,,,13741,68.4,,
constituency_result,Conservative,London,Old Bexley and Sidcup,,,,3548,73.9,,
constituency_result,Conservative,London,Orpington,,,,2952,75.3,,
constituency_result,Labour,London,Poplar and Canning Town,,,,18915,52.3,,
constituency_result,Labour,London,Putney,,,,2976,73.2,,
